citation_id,country_or_region,subnational_or_context,source_label,Source Authority,Stated Organic-waste Treatment Route,Treatment Route Coding Note,Acceptance,source_url
[32],Austria,Vienna,Austria - Vienna - Abfallberatung Wien / municipal guidance,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://abfallberatung.wien.gv.at/biokunststoffe/
[33],Austria,Upper Austria / Gmunden,Austria - Upper Austria / Gmunden - Bezirksabfallverband Gmunden / regional rule,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.umweltprofis.at/gmunden/aktuelles/nachrichten_detail/n/detail/News/wie_ich_die_biotonne_richtig_befuelle.html
[34],Sweden,Stockholm,Sweden - Stockholm - Stockholm Vatten och Avfall / municipal sorting rules,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.stockholmvattenochavfall.se/artiklar-listsida/avfall---sortering-och-atervinning/matavfallspasar/
[38],United Kingdom,Manchester,United Kingdom - Manchester - Manchester City Council / municipal sorting rule,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://www.manchester.gov.uk/bins-rubbish-and-recycling/blue-bins-bags-and-containers/green-bins-containers-and-boxes
[39],United Kingdom,England,United Kingdom - England - UK Government / national government guidance,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://www.gov.uk/guidance/simpler-recycling-household-recycling-in-england
[41],United Kingdom,Cornwall,United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://www.cornwall.gov.uk/rubbish-recycling-and-waste/recycling-and-rubbish-collections/how-to-use-your-new-food-waste-recycling-service/
[43],United Kingdom,Lichfield,United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.lichfielddc.gov.uk/food-waste-3/food-waste/5
[51],United States,"San Antonio, Texas","United States - San Antonio, Texas - City of San Antonio / municipal sorting rule",Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.sa.gov/Directory/Departments/SWMD/Recycling-Organics/Organics
[57],Canada,"London, Ontario","Canada - London, Ontario - City of London / municipal sorting rule",Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://london.ca/living-london/garbage-recycling/green-bin
[60],Canada,"Niagara Region, Ontario","Canada - Niagara Region, Ontario - Niagara Region / regional government guidance","State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.niagararegion.ca/waste/containers/compostable-bags.aspx
[71],Japan,"Mashiko, Tochigi","Japan - Mashiko, Tochigi - 益子町 / municipal sorting rule",Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://www.town.mashiko.lg.jp/data/doc/1396155521_doc_87_0.pdf
[72],Japan,"Makkari, Hokkaidō","Japan - Makkari, Hokkaidō - 真狩村 / municipal sorting rule",Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.vill.makkari.lg.jp/kurashi/gomi/bunbetsu/dashikata/
[73],Japan,"Niseko, Hokkaidō","Japan - Niseko, Hokkaidō - ニセコ町 / municipal sorting / program document",Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.town.niseko.lg.jp/resources/output/contents/file/release/903/13734/80b6adbfc21896406dd4d482d212e7d5.pdf
[74],Japan,"Toyohashi, Aichi","Japan - Toyohashi, Aichi - 豊橋市 / municipal sorting rule",Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit rule,https://www.city.toyohashi.lg.jp/26526.htm
[76],Spain,Vigo (Galicia),Spain - Vigo (Galicia) - Concello de Vigo / municipal sorting rule,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://hoxe.vigo.org/movemonos/limp_org_form.php?lang=cas
[77],Belgium,National (all three regions),Belgium - National (all three regions) - Fost Plus (producer responsibility organisation) / waste-company guidance,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.fostplus.be/fr/media/1374/download%20(FR);%20https:/www.fostplus.be/nl/media/1373/download%20(NL)
[80],Austria,Vienna (Wien),Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.wien.gv.at/umwelt/sammlung-biogener-abfall
[81],Austria,National,Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.oesterreich.gv.at/de/themen/bauen_und_wohnen/abfall/bioabfall
[82],Denmark,National,Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://producentansvar.dk/wp-content/uploads/2022/04/mst-sorteringsvejledning-2022.pdf
[85],Sweden,National (Avfallsförordningen),Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,No explicit rule,https://www.avfallsverige.se/aktuellt/nyheter/ny-lagstiftning-2024/
[86],Sweden,Stockholm,Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.stockholmvattenochavfall.se/artiklar-listsida/avfall---sortering-och-atervinning/regler-for-forpackat-matavfall-fran-livsmedelsbutik/
[89],Switzerland,Bern (city),Switzerland - Bern (city) - Stadt Bern — Grüngut / municipal sorting rule,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit rule,https://www.bern.ch/themen/abfall/entsorgungs-abc/gruengut
[90],Switzerland,National,Switzerland - National - BAFU — Bundesamt für Umwelt (Federal Office for the Environment) / national government guidance,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit rule,https://www.bafu.admin.ch/de/abfall
[92],Mexico,Mexico City / CDMX,Mexico - Mexico City / CDMX - Solid-waste regulation,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://data.sedema.cdmx.gob.mx/sitios/conadf/documentos/NACDMX_010_AMBT_2019.pdf
[93],Czechia,Prague,Czechia - Prague - Pražské služby a.s. - Svoz bioodpadu v Praze,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.psas.cz/svoz-bioodpadu
[95],Latvia,Riga / Getliņi BNA system,Latvia - Riga / Getliņi BNA system - Rīgas valstspilsētas pašvaldība - Atkritumu šķirošanas ceļvedis,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.riga.lv/lv/atkritumu-skirosanas-celvedis
[96],Lithuania,Alytus region,Lithuania - Alytus region - UAB Alytaus regiono atliekų tvarkymo centras - Grūte bus dalijami maisto atliekų surinkimo konteineriai,"State, provincial, regional, or canton rule",Treatment route not stated,No collection-route or downstream-treatment cue detected,Broad acceptance,https://www.aratc.lt/naujienos/grute-bus-dalijami-maisto-atlieku-surinkimo-konteineriai/
[98],Poland,Toruń,Poland - Toruń - Miasto Toruń and MPO Toruń - STOP foliówkom w pojemnikach BIO - rozdajemy BIOworki,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.mpo.torun.pl/__jw-webdev/mpo/324/stop-foliowkom-w-pojemnikach-bio-rozdajemy-bioworki
[100],Poland,Warsaw,Poland - Warsaw - Urząd m. st. Warszawy - Biodegradowalne opakowania np. ze skrobi kukurydzianej,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://segregujna5.um.warszawa.pl/odpady/biodegradowalne-opakowania-np-ze-skrobi-kukurydzianej/
[101],Slovakia,Bratislava,Slovakia - Bratislava - OLO a.s. - Ako správne triediť kuchynský bioodpad?,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.olo.sk/odpad/ako-spravne-triedit-odpad/kbro
[104],Lithuania,Vilnius,Lithuania - Vilnius - VASA - Maisto atliekas Vilniuje,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit rule,https://zaliasvilnius.lt/maisto-atliekas-vilniuje-rusiuokime-i-oranzinius-maiselius/
[105],Poland,National,Poland - National - Ministerstwo Klimatu i Środowiska - Segregacja odpadów - pojemniki bio,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit rule,https://www.gov.pl/web/klimat/segregacjaodpadow-pojemniki-bio
[107],Norway,Rogaland (Molde/Romsdal region),Norway - Rogaland (Molde/Romsdal region) - RIR (Romsdals-halv og Innlandets Renovasjon) - Nedbrytbare matavfallsposer til matavfall fra 1. januar,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.rir.no/aktuelt/nedbrytbare-matavfallsposer
[110],Finland,"Helsinki Metropolitan Area (Helsinki, Espoo, Vantaa, Kauniainen)","Finland - Helsinki Metropolitan Area (Helsinki, Espoo, Vantaa, Kauniainen) - HSY (Helsinki Region Environmental Services Authority) - Biohajoava muovi"" (Biodegradable plastic sorting guidance)",Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.hsy.fi/jatteet-ja-kierratys/jateopas-ja-lajitteluohjeet/jatteet/biohajoava-muovi/
[111],Finland,Kainuu region,"Finland - Kainuu region - Ekokymppi (Kainuu waste authority) - Biojäte"" sorting guide","State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.ekokymppi.fi/tietopankki/lajittelu/biojate.html
[115],Mexico,Mexico City (CDMX),"Mexico - Mexico City (CDMX) - Secretaría del Medio Ambiente, Ciudad de México (via Ley de Residuos Sólidos del CDMX and Reglamento) - Reglamento de la Ley de Residuos Sólidos del Distrito Federal"" (Artículo 32 Bis)",National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://paot.org.mx/centro/leyes-normas-htmls/reglamento-de-la-1054.html
[122],Estonia,Tartu,Estonia - Tartu - Tartu City Government / organised municipal waste transport,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://tartu.ee/et/korraldatud-olmejaatmevedu
[123],Estonia,Rakvere,Estonia - Rakvere - Rakvere City / waste sorting guidance,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://rakvere.ee/jaatmete-sorteerimine
[126],South Korea,Busan Metropolitan City,South Korea - Busan Metropolitan City - recycling/separation public guidance,Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.busan.go.kr/depart/ahwasteinfo01
[133],Czechia,Brno-Chrlice,Czechia - Brno-Chrlice - Třídění odpadů,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.mcchrlice.brno.cz/trideni-odpadu/ms-11715
[135],Iceland,Reykjavík,Iceland - Reykjavík - Our bins,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://reykjavik.is/en/sorphirda/tunnur
[142],United Kingdom,Greater Manchester,United Kingdom - Greater Manchester - The truth about compostable packaging,Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://recycleforgreatermanchester.com/blog/the-truth-about-compostable-packaging/
[143],Japan,"Minamata City, Kumamoto Prefecture","Japan - Minamata City, Kumamoto Prefecture - Food-waste recycling / kitchen-garbage recycling page","State, provincial, regional, or canton rule",Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://www.city.minamata.lg.jp/kankyo/kiji003458/index.html
[145],Chile,"Providencia, Santiago Metropolitan Region","Chile - Providencia, Santiago Metropolitan Region - Medioambiente - Reciclaje Orgánico",Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://providencia.cl/provi/vive/medioambiente/reciclaje-organico
[147],Poland,Kraków,Poland - Kraków - MPO Kraków bio-waste page,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://mpo.krakow.pl/bio/
[149],Hungary,National / MOHU system,Hungary - National / MOHU system - Konyhai zöld- és élelmiszer hulladék,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://mohu.hu/hu/biohulladek
[156],Italy,Hera,Italy - Hera - added municipal/authority operational source,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://www.gruppohera.it/-/raccolta-differenziata-dell-organico-una-risorsa-senza-limiti-1
[157],Greece,Chania-DEDISA,Greece - Chania-DEDISA - added municipal/authority operational source,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.chania.gr/wp-content/uploads/2020/12/55/43694/8pages_16x16_dedisa_en_corrected.pdf
[162],Norway,BIR Bergen,Norway - BIR Bergen - added municipal/authority operational source,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://bir.no/bli-kvitt-boss/matavfall/poser-til-matavfall/
[163],Norway,MOVAR,Norway - MOVAR - added municipal/authority operational source,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.movar.no/bioposer-til-matavfall.html
[164],Norway,TRV Trondheim,Norway - TRV Trondheim - added municipal/authority operational source,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://trv.no/bioposer-plastsekker/
[165],Spain,Dénia,Spain - Dénia - added municipal/authority operational source,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://denia.es/es/denia/actualitat/noticia.aspx?id=6498
[166],Spain,Zaragoza,Spain - Zaragoza - added municipal/authority operational source,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.zaragoza.es/sede/servicio/noticia/338669
[167],Spain,Girona,Spain - Girona - added municipal/authority operational source,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://web.girona.cat/netejairesidus/residus/organic
[171],Slovakia,Košice,Slovakia - Košice - Municipal/operator organic-waste sorting guidance,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.kosice.sk/obcan/kuchynsky-biologicky-odpad
[172],Slovakia,Trnava,Slovakia - Trnava - Municipal/operator organic-waste sorting guidance,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Liners only,https://www.trnava.sk/zivotne-situacie/716/kompostovatelne-vrecka-na-rozlozitelny-kuchynsky-bioodpad
[173],Denmark,Odense,Denmark - Odense - Municipal/operator organic-waste sorting guidance,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,No explicit rule,https://www.odenserenovation.dk/sorteringsguide/affaldstype/komposterbareposer/
[175],Czechia,Plzeň,Czechia - Plzeň - Municipal/operator organic-waste sorting guidance,Waste operator or treatment-facility rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://odpady.plzen.eu/mesto-a-odpady/typy-odpadu/trideni-odpadu/biologicky-rozlozitelny-odpad/
[180],Slovenia,Maribor,Slovenia - Maribor - Municipal waste-sorting guidance,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,https://okolje.maribor.si/kakoloevatiinodlagatiodpadk
[181],Slovenia,Kranj / Komunala Kranj,Slovenia - Kranj / Komunala Kranj - Brown-bin biowaste guidance,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Liners only,https://www.komunala-kranj.si/zascita-rjavega-zabojnika-in-pravilno-odlaganje-bioloskih-odpadkov
[184],Czechia,Karlovy Vary,Czechia - Karlovy Vary - L?ze?sk? lesy a parky Karlovy Vary - local municipal-operator sorting guidance,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,https://www.llpkv.cz/sluzby-pro-obcany/bioodpad
